nr,BaboonID,Ncollars,Date,Distance,SL,Sinuosity,RT,GG,RG,Repstate,fT3,Sex,Rank,Daylength,socopp
1,A,7,26/07/2018,6.62,3.323454629,0.284252419,4,NA,NA,CYC,47.3,F,0.22222222,10.28333333,72
2,A,7,27/07/2018,11.22,NA,NA,NA,9257,3620,CYC,NA,F,0.22222222,10.31666667,12
3,A,7,28/07/2018,10.11,4.092528187,0.303866407,3,6193,6274,CYC,NA,F,0.22222222,10.35,110
4,A,7,29/07/2018,12.62,2.043587662,0.489867943,2.5,6159,8608,CYC,46.3,F,0.22222222,10.35,75
5,A,10,30/07/2018,10.31,NA,NA,NA,7858,9257,CYC,NA,F,0.22222222,10.38333333,225
6,A,10,31/07/2018,11.7,1.406245057,0.472353902,10,7911,8066,CYC,NA,F,0.22222222,10.41666667,246
7,A,10,01/08/2018,12.04,NA,NA,NA,8084,8517,CYC,NA,F,0.22222222,10.43333333,194
8,A,13,02/08/2018,10.47,3.437183264,0.309750385,3,4859,7398,CYC,NA,F,0.22222222,10.46666667,173
9,A,13,03/08/2018,9.16,0.907096745,0.812230212,15,8777,12131,CYC,NA,F,0.22222222,10.48333333,324
10,A,13,04/08/2018,9.34,NA,NA,NA,6117,4743,CYC,NA,F,0.22222222,10.51666667,153
11,A,13,05/08/2018,9.98,4.995058896,0.41417546,2,7673,8792,CYC,48.2,F,0.22222222,10.53333333,173
12,A,13,06/08/2018,9.34,NA,NA,NA,10242,7231,CYC,40,F,0.22222222,10.56666667,123
13,A,13,07/08/2018,11.49,0.981055777,0.340626018,12,5779,5850,CYC,NA,F,0.22222222,10.6,180
14,A,13,08/08/2018,9.48,NA,NA,NA,9472,5317,CYC,NA,F,0.22222222,10.61666667,213
15,A,13,09/08/2018,11.07,3.38561418,0.358047256,3,7940,5396,CYC,43.85,F,0.22222222,10.65,208
16,A,13,10/08/2018,9.27,1.292204046,0.429602148,5,8901,3273,CYC,NA,F,0.22222222,10.68333333,118
17,A,12,11/08/2018,NA,1.565133921,0.655923835,11,6908,7081,CYC,61.4,F,0.22222222,10.7,NA
18,A,13,12/08/2018,12.22,NA,NA,NA,7139,11977,CYC,NA,F,0.22222222,10.73333333,252
19,A,13,13/08/2018,13.1,3.349609449,0.364783502,3,7620,3717,CYC,70.8,F,0.22222222,10.76666667,47
20,A,13,14/08/2018,8.84,NA,NA,NA,9854,10747,CYC,46.7,F,0.22222222,10.8,327
21,A,13,15/08/2018,9.07,2.783369421,0.436497346,4,8498,6042,CYC,NA,F,0.22222222,10.81666667,184
22,A,12,16/08/2018,15.53,4.286584931,0.348199628,2,5174,5453,CYC,44.6,F,0.22222222,10.85,110
23,A,12,17/08/2018,11.32,4.626684221,0.320026025,2,10198,5767,CYC,NA,F,0.22222222,10.88333333,229
24,A,12,18/08/2018,12.28,6.50574318,0.308268828,2,7290,4426,CYC,NA,F,0.22222222,10.9,233
25,A,12,19/08/2018,10.56,2.559396538,0.403005925,10,7252,5831,CYC,NA,F,0.22222222,10.95,172
26,A,12,20/08/2018,11.08,NA,NA,NA,8810,4875,CYC,35.3,F,0.22222222,10.98333333,136
27,A,12,21/08/2018,11.57,4.534879296,0.298789942,2,8130,2950,CYC,NA,F,0.22222222,11,98
28,A,12,22/08/2018,15.68,NA,NA,NA,5788,7113,CYC,59.9,F,0.22222222,11.03333333,188
29,A,12,23/08/2018,10.1,1.242289557,0.500134011,11,9867,3891,CYC,NA,F,0.22222222,11.06666667,150
30,A,12,24/08/2018,11.09,3.215662911,0.394625579,3,9145,2777,CYC,NA,F,0.22222222,11.1,79
31,A,12,25/08/2018,10.82,NA,NA,NA,4995,7088,CYC,NA,F,0.22222222,11.13333333,198
32,A,11,26/08/2018,12.37,9.70606323,0.235067827,1,5417,6608,CYC,57.2,F,0.22222222,11.16666667,120
33,A,11,27/08/2018,11.21,NA,NA,NA,5432,11611,CYC,NA,F,0.22222222,11.2,154
34,A,11,28/08/2018,12.26,4.084041186,0.279826281,2,5779,8597,CYC,NA,F,0.22222222,11.23333333,89
35,A,11,29/08/2018,10.54,NA,NA,NA,10120,9186,PREG,43.2,F,0.22222222,11.26666667,151
36,A,11,30/08/2018,11.27,5.046502263,0.361455085,2,9162,4105,PREG,NA,F,0.22222222,11.3,101
37,A,11,31/08/2018,10.52,4.01590223,0.294821372,3,8532,6214,PREG,NA,F,0.22222222,11.31666667,148
38,A,11,01/09/2018,9.8,3.154785161,0.343725831,3,7397,7193,PREG,NA,F,0.22222222,11.36666667,105
39,A,11,02/09/2018,14.43,2.564628169,0.356603018,3.5,6240,7131,PREG,NA,F,0.22222222,11.4,69
40,A,11,03/09/2018,11.86,NA,NA,NA,7527,7305,PREG,65,F,0.22222222,11.41666667,144
41,A,11,04/09/2018,15.85,3.466048102,0.514244141,5,4917,6980,PREG,NA,F,0.22222222,11.46666667,12
42,A,11,05/09/2018,9.46,NA,NA,NA,13097,10207,PREG,54.5,F,0.22222222,11.5,303
43,A,11,06/09/2018,9.46,4.814510253,0.381970419,3,11081,8117,PREG,32.1,F,0.22222222,11.51666667,106
44,A,11,07/09/2018,10.02,NA,NA,NA,10698,8001,PREG,NA,F,0.22222222,11.56666667,184
45,A,9,08/09/2018,6.01,5.580746256,0.363145329,2,5384,4878,PREG,38,F,0.22222222,11.6,NA
46,A,9,09/09/2018,12.86,4.86312708,0.345897085,3,10942,8361,PREG,57.35,F,0.22222222,11.61666667,NA
47,A,6,10/09/2018,9.77,6.659287204,0.374569968,2,8422,7082,PREG,NA,F,0.22222222,11.66666667,NA
48,A,5,11/09/2018,10.64,NA,NA,NA,7900,4539,PREG,NA,F,0.22222222,11.7,NA
49,A,4,12/09/2018,12,2.143402071,0.385486386,5,4466,8020,PREG,NA,F,0.22222222,11.73333333,NA
50,A,3,13/09/2018,12.17,4.587459572,0.313266028,3,6792,9479,PREG,NA,F,0.22222222,11.76666667,NA
51,A,2,14/09/2018,9.85,NA,NA,NA,10561,10105,PREG,NA,F,0.22222222,11.8,NA
52,A,2,15/09/2018,NA,1.360091081,0.405468184,7,10262,3422,PREG,NA,F,0.22222222,11.83333333,NA
53,A,2,16/09/2018,NA,NA,NA,NA,9769,6627,PREG,NA,F,0.22222222,11.86666667,NA
54,A,2,17/09/2018,NA,1.559874163,0.552858606,4.5,6181,9625,PREG,NA,F,0.22222222,11.9,NA
55,A,2,18/09/2018,NA,NA,NA,NA,8289,11517,PREG,NA,F,0.22222222,11.93333333,NA
56,A,2,19/09/2018,NA,4.450982324,0.435567058,3,7947,12211,PREG,NA,F,0.22222222,11.96666667,NA
57,A,NA,20/09/2018,NA,3.376139219,0.390749551,4,8841,8011,PREG,NA,F,0.22222222,12.01666667,NA
58,A,NA,21/09/2018,NA,10.38550971,NA,NA,9481,7864,PREG,NA,F,0.22222222,12.03333333,NA
59,A,NA,22/09/2018,NA,NA,NA,NA,8390,8869,PREG,61.1,F,0.22222222,12.06666667,NA
60,A,NA,23/09/2018,NA,2.72371715,0.333951749,4,8117,6961,PREG,NA,F,0.22222222,12.11666667,NA
61,A,NA,24/09/2018,NA,NA,NA,NA,8996,5884,PREG,NA,F,0.22222222,12.15,NA
62,A,NA,25/09/2018,NA,22.82874645,0.153775023,1,5885,8509,PREG,NA,F,0.22222222,12.18333333,NA
63,A,NA,26/09/2018,NA,NA,NA,NA,5572,4718,PREG,NA,F,0.22222222,12.21666667,NA
64,A,NA,27/09/2018,NA,1.204771316,0.40769783,9,6119,8844,PREG,NA,F,0.22222222,12.25,NA
65,A,NA,28/09/2018,NA,0.646162437,1.342111259,21,6911,9400,PREG,52.8,F,0.22222222,12.28333333,NA
66,A,NA,29/09/2018,NA,NA,NA,NA,7251,4262,PREG,NA,F,0.22222222,12.31666667,NA
67,A,NA,30/09/2018,NA,1.999747046,0.450764249,5,11524,6298,PREG,NA,F,0.22222222,12.36666667,NA
68,C,7,26/07/2018,6.01,1.26136194,0.30586876,3,NA,NA,CYC,26.5,F,0.05555556,10.28333333,4
69,C,7,27/07/2018,12.86,6.006304699,0.263750998,2,NA,NA,CYC,NA,F,0.05555556,10.31666667,94
70,C,7,28/07/2018,9.77,3.592476135,0.262167092,3,NA,NA,CYC,NA,F,0.05555556,10.35,52
71,C,7,29/07/2018,10.64,4.924198424,0.445495917,2,NA,NA,CYC,NA,F,0.05555556,10.35,48
72,C,10,30/07/2018,12,1.252157531,0.42947308,7,NA,NA,CYC,NA,F,0.05555556,10.38333333,109
73,C,10,31/07/2018,12.17,3.757711939,0.309315506,3,NA,NA,CYC,NA,F,0.05555556,10.41666667,179
74,C,10,01/08/2018,9.85,1.360644152,0.415400852,6,NA,NA,CYC,NA,F,0.05555556,10.43333333,111
75,C,13,02/08/2018,11.77,7.586057575,0.609372903,2,NA,NA,CYC,NA,F,0.05555556,10.46666667,47
76,C,13,03/08/2018,10.85,1.360632291,0.355462126,9,NA,NA,CYC,NA,F,0.05555556,10.48333333,333
77,C,13,04/08/2018,9.43,3.799970112,0.33440021,3,NA,NA,CYC,NA,F,0.05555556,10.51666667,156
78,C,13,05/08/2018,10.79,1.999652953,0.39177655,5,NA,NA,CYC,30.3,F,0.05555556,10.53333333,195
79,C,13,06/08/2018,12.62,4.673737882,0.373269024,3,NA,NA,CYC,NA,F,0.05555556,10.56666667,242
80,C,13,07/08/2018,12.24,3.846051053,0.329071734,2,NA,NA,CYC,NA,F,0.05555556,10.6,126
81,C,13,08/08/2018,9.82,2.134095506,0.412325493,4,NA,NA,CYC,NA,F,0.05555556,10.61666667,219
82,C,13,09/08/2018,10.46,4.441427323,0.349139158,2,NA,NA,CYC,37.1,F,0.05555556,10.65,190
83,C,13,10/08/2018,9.66,6.006475699,0.315059595,2,NA,NA,CYC,NA,F,0.05555556,10.68333333,80
84,C,12,11/08/2018,NA,7.055031796,0.271870319,2,NA,NA,CYC,NA,F,0.05555556,10.7,NA
85,C,13,12/08/2018,5.6,NA,NA,NA,NA,NA,CYC,NA,F,0.05555556,10.73333333,6
86,C,13,13/08/2018,9.87,1.23124654,0.36289257,14,NA,NA,CYC,NA,F,0.05555556,10.76666667,217
87,C,13,14/08/2018,9.65,1.203492886,0.406676334,8,NA,NA,CYC,NA,F,0.05555556,10.8,223
88,C,13,15/08/2018,8.91,1.243647373,0.387652671,6,NA,NA,CYC,NA,F,0.05555556,10.81666667,194
89,C,12,16/08/2018,10.31,1.519776199,0.373737427,5,NA,NA,CYC,45.9,F,0.05555556,10.85,261
90,C,12,17/08/2018,11.52,6.566790749,0.411455541,2,NA,NA,CYC,NA,F,0.05555556,10.88333333,44
91,C,12,18/08/2018,10.56,3.392523382,0.36917413,3,NA,NA,CYC,NA,F,0.05555556,10.9,169
92,C,12,19/08/2018,11.31,3.633733219,0.276465447,3,NA,NA,CYC,NA,F,0.05555556,10.95,64
93,C,12,20/08/2018,12.17,3.990886652,0.323084824,3,NA,NA,CYC,NA,F,0.05555556,10.98333333,283
94,C,12,21/08/2018,10.94,2.213246973,0.443545583,4,NA,NA,CYC,NA,F,0.05555556,11,185
95,C,12,22/08/2018,12.86,4.482701151,0.326275044,2,NA,NA,CYC,30.8,F,0.05555556,11.03333333,157
96,C,12,23/08/2018,12,1.654213043,0.347403361,5,NA,NA,CYC,53.4,F,0.05555556,11.06666667,136
97,C,12,24/08/2018,9.33,3.150314221,0.38272419,3,NA,NA,CYC,NA,F,0.05555556,11.1,126
98,C,12,25/08/2018,11.45,1.72308409,0.343687788,4,NA,NA,CYC,NA,F,0.05555556,11.13333333,190
99,C,11,26/08/2018,12.33,7.520175076,0.373840487,1,NA,NA,CYC,42.4,F,0.05555556,11.16666667,131
100,C,11,27/08/2018,10.46,1.366205656,0.402047641,13,NA,NA,CYC,NA,F,0.05555556,11.2,392
101,C,11,28/08/2018,10.63,3.762028808,0.367091219,3,NA,NA,CYC,NA,F,0.05555556,11.23333333,96
102,C,11,29/08/2018,9.4,1.242280282,0.388535175,9,NA,NA,CYC,NA,F,0.05555556,11.26666667,291
103,C,11,30/08/2018,10.04,1.340526963,0.505780019,5,NA,NA,CYC,62.8,F,0.05555556,11.3,133
104,C,11,31/08/2018,8.45,1.92355081,0.46420187,4,NA,NA,CYC,NA,F,0.05555556,11.31666667,167
105,C,11,01/09/2018,10.45,2.643360769,0.360940212,4,NA,NA,CYC,31.7,F,0.05555556,11.36666667,125
106,C,11,02/09/2018,11.48,3.084392977,0.431192133,3.5,NA,NA,CYC,NA,F,0.05555556,11.4,105
107,C,11,03/09/2018,12.34,5.259956412,0.316834985,3,NA,NA,CYC,NA,F,0.05555556,11.41666667,187
108,C,11,04/09/2018,9.82,1.480632953,0.378545324,8,NA,NA,CYC,NA,F,0.05555556,11.46666667,271
109,C,11,05/09/2018,12.84,2.057323163,0.359526106,12,NA,NA,CYC,NA,F,0.05555556,11.5,268
110,C,11,06/09/2018,11.72,1.854861255,0.40311226,5,NA,NA,CYC,22.3,F,0.05555556,11.51666667,85
111,C,11,07/09/2018,10.3,2.704405179,0.441376965,5,NA,NA,CYC,NA,F,0.05555556,11.56666667,181
112,C,9,08/09/2018,11.54,4.181832345,0.349026466,3,NA,NA,CYC,54.2,F,0.05555556,11.6,128
113,C,9,09/09/2018,NA,1.818951159,0.431165828,4,NA,NA,CYC,46.3,F,0.05555556,11.61666667,13
114,D,13,02/08/2018,8.23,8.517317609,0.298796761,2,NA,NA,PREG,65.3,F,0.33333333,10.46666667,108
115,D,13,03/08/2018,14.28,3.960538659,0.385007696,12,NA,NA,PREG,NA,F,0.33333333,10.48333333,360
116,D,13,04/08/2018,14.71,6.116457938,0.350104374,3,NA,NA,PREG,NA,F,0.33333333,10.51666667,143
117,D,13,05/08/2018,13.66,4.408519959,0.459249087,6,NA,NA,PREG,NA,F,0.33333333,10.53333333,226
118,D,13,06/08/2018,11.88,4.043827997,0.582542682,19,NA,NA,PREG,NA,F,0.33333333,10.56666667,337
119,D,13,07/08/2018,17.18,4.894287748,0.322775529,3,NA,NA,PREG,NA,F,0.33333333,10.6,46
120,D,13,08/08/2018,13.51,4.851803912,0.329706834,4,NA,NA,PREG,NA,F,0.33333333,10.61666667,248
121,D,13,09/08/2018,14.22,5.808694372,0.377956317,3,NA,NA,PREG,43.4,F,0.33333333,10.65,184
122,D,13,10/08/2018,12.91,6.459368496,0.349411258,2,NA,NA,PREG,NA,F,0.33333333,10.68333333,122
123,D,12,11/08/2018,NA,8.901451529,0.302241095,2,NA,NA,PREG,NA,F,0.33333333,10.7,NA
124,D,13,12/08/2018,12.32,6.491000684,0.377278161,4,NA,NA,PREG,NA,F,0.33333333,10.73333333,40
125,D,13,13/08/2018,14.38,3.024587973,0.447269141,23,NA,NA,PREG,51,F,0.33333333,10.76666667,184
126,D,13,14/08/2018,15.1,4.995291719,0.53630709,9,NA,NA,PREG,67.9,F,0.33333333,10.8,231
127,D,13,15/08/2018,14.04,4.241332308,0.505608826,7,NA,NA,PREG,NA,F,0.33333333,10.81666667,233
128,D,12,16/08/2018,13.47,3.602972494,0.627839689,5.5,NA,NA,PREG,NA,F,0.33333333,10.85,142
129,D,12,17/08/2018,13.77,4.278405977,0.347403178,5,NA,NA,PREG,NA,F,0.33333333,10.88333333,83
130,D,12,18/08/2018,11.85,4.741041423,0.416757029,3,NA,NA,PREG,27.5,F,0.33333333,10.9,127
131,D,12,19/08/2018,13.19,5.770521828,0.37522417,3,NA,NA,PREG,NA,F,0.33333333,10.95,180
132,D,12,20/08/2018,14.76,5.085495152,0.305020666,3,NA,NA,PREG,NA,F,0.33333333,10.98333333,149
133,D,12,21/08/2018,10.87,5.072291835,0.51024724,4,NA,NA,PREG,NA,F,0.33333333,11,87
134,D,12,22/08/2018,14.14,4.262013726,0.654583034,7,NA,NA,PREG,32.6,F,0.33333333,11.03333333,339
135,D,12,23/08/2018,9.94,4.302878672,0.376767869,6,NA,NA,PREG,NA,F,0.33333333,11.06666667,116
136,D,12,24/08/2018,13.2,4.536595116,0.40336687,3,NA,NA,PREG,NA,F,0.33333333,11.1,121
137,D,12,25/08/2018,14.42,3.824396805,0.660413222,22,NA,NA,PREG,NA,F,0.33333333,11.13333333,239
138,D,11,26/08/2018,17.16,8.104657471,0.377873681,2,NA,NA,PREG,NA,F,0.33333333,11.16666667,161
139,D,11,27/08/2018,14.52,4.773069001,0.40666597,7,NA,NA,PREG,NA,F,0.33333333,11.2,254
140,D,11,28/08/2018,15.21,4.982999817,0.228975884,3,NA,NA,PREG,NA,F,0.33333333,11.23333333,62
141,D,11,29/08/2018,15.09,4.89936942,0.408721585,5,NA,NA,PREG,43.5,F,0.33333333,11.26666667,126
142,D,11,30/08/2018,12.04,3.792619114,0.787785708,6,NA,NA,PREG,NA,F,0.33333333,11.3,72
143,D,11,31/08/2018,12.8,4.952522066,0.479171021,4,NA,NA,PREG,NA,F,0.33333333,11.31666667,177
144,D,11,01/09/2018,15.62,5.246997646,0.340418274,3,NA,NA,LAC,44.2,F,0.33333333,11.36666667,89
145,D,11,02/09/2018,13.65,4.238650924,0.663852513,10,NA,NA,PREG,NA,F,0.33333333,11.4,24
146,D,11,03/09/2018,15.86,5.402020062,0.307052899,3,NA,NA,PREG,NA,F,0.33333333,11.41666667,192
147,D,11,04/09/2018,11.22,3.368095937,0.415297356,19.5,NA,NA,PREG,NA,F,0.33333333,11.46666667,344
148,D,11,05/09/2018,16.23,4.698085093,0.483509938,11,NA,NA,LAC,27.3,F,0.33333333,11.5,267
149,D,11,06/09/2018,12.7,4.152701807,0.433598194,4,NA,NA,LAC,NA,F,0.33333333,11.51666667,142
150,D,11,07/09/2018,15.93,5.245690869,0.423601578,5,NA,NA,LAC,NA,F,0.33333333,11.56666667,166
151,D,9,08/09/2018,12.65,4.897784163,0.437786674,3,NA,NA,LAC,32.4,F,0.33333333,11.6,139
152,D,9,09/09/2018,10.09,4.280686277,0.478916068,4,NA,NA,LAC,NA,F,0.33333333,11.61666667,63
153,D,6,10/09/2018,13.42,4.222624604,0.324626072,3,NA,NA,LAC,NA,F,0.33333333,11.66666667,54
154,D,5,11/09/2018,13.54,4.637340222,0.389831146,3,NA,NA,LAC,NA,F,0.33333333,11.7,91
155,D,4,12/09/2018,NA,4.666142462,0.357616385,4,NA,NA,LAC,NA,F,0.33333333,11.73333333,NA
156,D,3,13/09/2018,NA,4.087966459,0.499464755,5,NA,NA,LAC,NA,F,0.33333333,11.76666667,NA
157,D,2,14/09/2018,NA,7.364488424,0.388821689,5,NA,NA,LAC,NA,F,0.33333333,11.8,NA
158,D,2,15/09/2018,NA,5.21007688,0.403779164,3,NA,NA,LAC,NA,F,0.33333333,11.83333333,NA
159,D,2,16/09/2018,NA,5.461240309,0.352901467,3,NA,NA,LAC,NA,F,0.33333333,11.86666667,NA
160,D,2,17/09/2018,NA,5.999455319,0.407632659,4,NA,NA,LAC,NA,F,0.33333333,11.9,NA
161,H,NA,25/07/2018,NA,1.238651448,0.312663532,5,NA,NA,CYC,NA,F,0.94444444,10.28333333,NA
162,H,7,26/07/2018,NA,1.238691081,0.336989667,7,7730,6344,CYC,33.35,F,0.94444444,10.28333333,74
163,H,7,27/07/2018,8.42,5.059080275,0.180910904,2,7013,2660,CYC,32,F,0.94444444,10.31666667,127
164,H,7,28/07/2018,11.7,2.720193235,0.341919137,3,4597,1756,CYC,NA,F,0.94444444,10.35,146
165,H,7,29/07/2018,10.02,3.350249293,0.376454989,3,7479,3775,CYC,NA,F,0.94444444,10.35,73
166,H,10,30/07/2018,9.05,5.033284388,0.39442533,2,6755,2220,CYC,NA,F,0.94444444,10.38333333,212
167,H,10,31/07/2018,10.16,2.574687962,0.345947176,5,8397,4756,CYC,NA,F,0.94444444,10.41666667,335
168,H,10,01/08/2018,10.69,1.142305208,0.513006045,5,11513,3968,CYC,NA,F,0.94444444,10.43333333,227
169,H,13,02/08/2018,7.03,4.228659977,0.397869225,2,8674,2969,CYC,47.5,F,0.94444444,10.46666667,280
170,H,13,03/08/2018,8.85,1.064877805,0.347725524,14,10505,7810,CYC,NA,F,0.94444444,10.48333333,452
171,H,13,04/08/2018,9.64,3.23940998,0.355355195,3,5527,2905,CYC,NA,F,0.94444444,10.51666667,331
172,H,13,05/08/2018,9.37,1.125392673,0.298798521,7,7183,4278,CYC,NA,F,0.94444444,10.53333333,275
173,H,13,06/08/2018,11,4.439906484,0.409162292,2,5914,5783,CYC,35.5,F,0.94444444,10.56666667,247
174,H,13,07/08/2018,11.98,3.935324012,0.289448774,2,7460,3298,CYC,38.8,F,0.94444444,10.6,301
175,H,13,08/08/2018,8.86,2.050844948,0.440321027,3,10393,6146,CYC,NA,F,0.94444444,10.61666667,480
176,H,13,09/08/2018,9.88,2.689825495,0.329700762,3,9491,2182,CYC,NA,F,0.94444444,10.65,381
177,H,13,10/08/2018,13.81,4.961099995,0.329588967,2,7042,3242,CYC,NA,F,0.94444444,10.68333333,422
178,H,13,12/08/2018,12.37,2.145501948,0.404768259,8,8589,9959,CYC,NA,F,0.94444444,10.73333333,316
179,H,13,13/08/2018,8.5,1.138156187,0.492057125,7,5793,6030,CYC,NA,F,0.94444444,10.76666667,439
180,H,13,14/08/2018,10.57,1.778784577,0.613772575,10,9322,8548,CYC,NA,F,0.94444444,10.8,700
181,H,13,15/08/2018,9.4,1.299237608,0.413279852,9.5,9328,10145,CYC,49.5,F,0.94444444,10.81666667,286
182,H,12,16/08/2018,9.7,1.036777957,0.299302509,20,9203,7012,CYC,NA,F,0.94444444,10.85,472
183,H,12,17/08/2018,10.05,3.118030744,0.397534988,3,5933,7350,CYC,NA,F,0.94444444,10.88333333,616
184,H,12,18/08/2018,8.63,2.375967156,0.421353737,3,4999,7315,CYC,39.6,F,0.94444444,10.9,645
185,H,12,19/08/2018,9.15,2.430730819,0.338143683,3,6599,6815,CYC,42.3,F,0.94444444,10.95,622
186,H,12,20/08/2018,11.34,2.523671584,0.32253896,4,5675,6833,CYC,27.1,F,0.94444444,10.98333333,703
187,H,12,21/08/2018,9.08,1.16989998,0.487840313,6,8014,9201,CYC,NA,F,0.94444444,11,276
188,H,12,22/08/2018,9.24,1.554205829,0.465038675,10,10483,4432,CYC,63.3,F,0.94444444,11.03333333,271
189,H,12,23/08/2018,8.67,1.383994315,0.401471717,5,7825,6537,CYC,NA,F,0.94444444,11.06666667,273
190,H,12,24/08/2018,9.49,3.432402152,0.389779719,2,8293,3419,CYC,NA,F,0.94444444,11.1,150
191,H,12,25/08/2018,9.38,1.491529295,0.427954635,4,5334,3541,CYC,NA,F,0.94444444,11.13333333,246
192,H,11,26/08/2018,10.7,2.276013211,0.380776129,2,7085,4225,CYC,43.8,F,0.94444444,11.16666667,396
