nr,BaboonID,Ncollars,Date,Distance,SL,Sinuosity,RT,GG,RG,Repstate,fT3,Sex,Rank,Daylength,socopp
193,H,11,27/08/2018,10.84,1.688062425,0.435459222,11,7232,7979,CYC,NA,F,0.94444444,11.2,490
194,H,11,28/08/2018,11.78,2.412110884,0.385348419,4,6237,4934,CYC,34.5,F,0.94444444,11.23333333,242
195,H,11,29/08/2018,8.25,0.998961095,0.429947399,10,15058,7174,CYC,34.8,F,0.94444444,11.26666667,331
196,H,11,30/08/2018,9.38,2.989167552,0.408204739,3,7851,6085,CYC,21.3,F,0.94444444,11.3,194
197,H,11,31/08/2018,10.63,3.375635599,0.441762289,3,8454,5181,CYC,NA,F,0.94444444,11.31666667,232
198,H,11,01/09/2018,9.77,2.274612562,0.413431342,4,9283,5819,CYC,NA,F,0.94444444,11.36666667,291
199,H,11,02/09/2018,8.32,1.381940278,0.540612859,4,6869,3671,CYC,NA,F,0.94444444,11.4,167
200,H,11,03/09/2018,11.6,3.66766088,0.316761928,3,10215,4706,CYC,NA,F,0.94444444,11.41666667,329
201,H,11,04/09/2018,7.82,1.112898886,0.370677191,19,12138,6379,CYC,36.5,F,0.94444444,11.46666667,413
202,H,11,05/09/2018,11.17,1.426963316,0.440069637,15,12137,6866,CYC,NA,F,0.94444444,11.5,481
203,H,11,06/09/2018,9.57,2.982965491,0.403554281,2.5,8598,3347,CYC,NA,F,0.94444444,11.51666667,175
204,H,11,07/09/2018,8.89,NA,NA,NA,8766,6008,CYC,NA,F,0.94444444,11.56666667,219
205,H,9,08/09/2018,6.64,NA,NA,NA,6393,3686,CYC,26.9,F,0.94444444,11.6,119
206,H,9,09/09/2018,NA,NA,NA,NA,13659,4129,CYC,26.7,F,0.94444444,11.61666667,21
207,H,6,10/09/2018,NA,NA,NA,NA,8876,4043,CYC,NA,F,0.94444444,11.66666667,14
208,H,5,11/09/2018,NA,NA,NA,NA,10715,2498,CYC,30.7,F,0.94444444,11.7,7
209,K,10,30/07/2018,8.78,8.19206842,0.280796628,1,NA,NA,MALE,NA,M,1,10.38333333,153
210,K,10,31/07/2018,13.32,2.432266951,0.341222129,6,2903,6109,MALE,NA,M,1,10.41666667,308
211,K,10,01/08/2018,9.59,1.621260417,0.398175668,7,4810,9265,MALE,NA,M,1,10.43333333,233
212,K,13,02/08/2018,12.66,4.560615565,0.417488793,2,3785,5088,MALE,NA,M,1,10.46666667,250
213,K,13,03/08/2018,9.64,1.144140331,0.347742128,14,3578,7360,MALE,NA,M,1,10.48333333,456
214,K,13,04/08/2018,10.21,1.756596448,0.363356211,4,2682,5234,MALE,NA,M,1,10.51666667,300
215,K,13,05/08/2018,9.94,1.275739475,0.428295786,8,3094,9113,MALE,NA,M,1,10.53333333,239
216,K,13,06/08/2018,15.66,5.936036803,0.289111392,2,3049,2974,MALE,NA,M,1,10.56666667,243
217,K,13,07/08/2018,12.82,2.340809595,0.386529912,4,4715,4456,MALE,28.2,M,1,10.6,314
218,K,13,08/08/2018,10.73,1.741496045,0.447128263,5,3946,7633,MALE,NA,M,1,10.61666667,492
219,K,13,09/08/2018,10.95,2.30956488,0.377011072,3,5278,3822,MALE,34,M,1,10.65,384
220,K,13,10/08/2018,10.94,4.775467222,0.31955344,2,6245,2254,MALE,NA,M,1,10.68333333,428
221,K,12,11/08/2018,NA,5.662808978,0.293582351,2,4044,4590,MALE,41.4,M,1,10.7,NA
222,K,13,12/08/2018,15.22,2.985391506,0.461473575,9,7499,5908,MALE,NA,M,1,10.73333333,384
223,K,13,13/08/2018,10.98,1.107468333,0.242545133,8,7057,4386,MALE,38.6,M,1,10.76666667,435
224,K,13,14/08/2018,11.18,1.688070005,0.530300786,12,7677,5179,MALE,NA,M,1,10.8,694
225,K,13,15/08/2018,11.63,1.56805297,0.229485916,10,9543,4285,MALE,46.8,M,1,10.81666667,303
226,K,12,16/08/2018,10.77,0.967639275,0.29015947,22,6346,6174,MALE,64,M,1,10.85,507
227,K,12,17/08/2018,10.87,3.538792282,0.391205066,3,8104,2639,MALE,NA,M,1,10.88333333,597
228,K,12,18/08/2018,9.33,3.052247413,0.403055256,3,6830,4400,MALE,31.8,M,1,10.9,610
229,K,12,19/08/2018,10.84,2.768942099,0.376681269,3,7493,4565,MALE,NA,M,1,10.95,642
230,K,12,20/08/2018,12.32,2.909617739,0.322555601,3,6667,3269,MALE,NA,M,1,10.98333333,704
231,K,12,21/08/2018,12.74,2.25612581,0.468279396,6,5269,13065,MALE,NA,M,1,11,285
232,K,12,22/08/2018,10.61,1.600546913,0.385011168,9,4153,8591,MALE,43.1,M,1,11.03333333,265
233,K,12,23/08/2018,8.84,1.206405913,0.39652772,10,4023,8216,MALE,NA,M,1,11.06666667,218
234,K,12,24/08/2018,12.36,2.987724657,0.349779868,3,5753,7754,MALE,NA,M,1,11.1,155
235,K,12,25/08/2018,12.72,1.580380357,0.37912008,5,3399,5400,MALE,35.9,M,1,11.13333333,279
236,K,11,26/08/2018,12.08,2.28570887,0.396100213,3,3485,2935,MALE,29.45,M,1,11.16666667,350
237,K,11,27/08/2018,11.16,1.046583788,0.400021818,25,4423,3916,MALE,25,M,1,11.2,336
238,K,11,28/08/2018,14.3,2.09521308,0.391356306,4,3804,4710,MALE,NA,M,1,11.23333333,179
239,K,11,29/08/2018,11.47,1.860832675,0.392765851,11,4405,12115,MALE,38.2,M,1,11.26666667,280
240,K,11,30/08/2018,12.6,1.917856009,0.352058162,4,4591,11320,MALE,27.9,M,1,11.3,167
241,K,11,31/08/2018,10.64,2.087912512,0.394151432,4,5410,6208,MALE,NA,M,1,11.31666667,258
242,K,11,01/09/2018,13.02,3.292917372,0.342892785,3,3497,6347,MALE,31.3,M,1,11.36666667,285
243,K,11,02/09/2018,8.72,1.401924562,0.529247733,6,3946,3174,MALE,32.8,M,1,11.4,126
244,K,11,03/09/2018,12.48,4.395667802,0.324628967,3,3410,6537,MALE,NA,M,1,11.41666667,249
245,K,11,04/09/2018,11.33,1.206411168,0.381797003,21,4032,4566,MALE,NA,M,1,11.46666667,430
246,K,11,05/09/2018,10.21,1.068321285,0.450720281,39,3559,7592,MALE,NA,M,1,11.5,385
247,K,11,06/09/2018,13.9,2.569593343,0.360372072,3,4660,4810,MALE,NA,M,1,11.51666667,169
248,K,11,07/09/2018,14.26,2.340473431,0.358366934,4,6948,5364,MALE,NA,M,1,11.56666667,268
249,K,9,08/09/2018,9.73,2.267737226,0.374562568,3,4600,2445,MALE,37.8,M,1,11.6,136
250,K,9,09/09/2018,8.52,2.23840285,0.414623596,3,8150,6791,MALE,35.4,M,1,11.61666667,77
251,K,6,10/09/2018,13.04,3.81041586,0.365412267,2,4370,5427,MALE,NA,M,1,11.66666667,19
252,K,5,11/09/2018,6.63,2.709393478,0.401282846,2,5782,3635,MALE,NA,M,1,11.7,31
253,KY,7,26/07/2018,8.86,3.467701733,0.315294284,4,NA,NA,ACYC,62.8,F,0.72222222,10.28333333,49
254,KY,7,27/07/2018,12.93,7.285157394,0.141597192,2,6647,1363,ACYC,NA,F,0.72222222,10.31666667,82
255,KY,7,28/07/2018,10.76,4.349439269,0.312192004,3,3959,1754,ACYC,NA,F,0.72222222,10.35,77
256,KY,7,29/07/2018,10.16,3.356525523,0.399455651,3,7553,3153,ACYC,NA,F,0.72222222,10.35,83
257,KY,10,30/07/2018,11.65,5.964663768,0.33562887,2,5894,2098,ACYC,NA,F,0.72222222,10.38333333,151
258,KY,10,31/07/2018,10.65,2.20039629,0.327037781,5,11085,3871,ACYC,NA,F,0.72222222,10.41666667,302
259,KY,10,01/08/2018,8.41,1.237802655,0.486789413,6,10931,4151,ACYC,NA,F,0.72222222,10.43333333,155
260,KY,13,02/08/2018,10.95,6.245669761,0.45433796,2,7391,1972,ACYC,46.7,F,0.72222222,10.46666667,149
261,KY,13,03/08/2018,11.35,1.156923754,0.346611759,12,15228,3334,ACYC,NA,F,0.72222222,10.48333333,406
262,KY,13,04/08/2018,9.67,3.864809779,0.339357494,2.5,8076,2637,ACYC,NA,F,0.72222222,10.51666667,252
263,KY,13,05/08/2018,9.01,1.138093495,0.422877699,7,10733,3821,ACYC,33.1,F,0.72222222,10.53333333,193
264,KY,13,06/08/2018,8.7,2.404459437,0.373306557,4,2970,4076,ACYC,35,F,0.72222222,10.56666667,325
265,KY,13,07/08/2018,11.17,2.268785243,0.277052607,4,7416,3019,ACYC,NA,F,0.72222222,10.6,229
266,KY,13,08/08/2018,11.13,2.243586581,0.443549382,3,10621,1814,ACYC,39.6,F,0.72222222,10.61666667,247
267,KY,13,09/08/2018,10.47,2.711137301,0.352667399,3,10505,1641,ACYC,NA,F,0.72222222,10.65,199
268,KY,13,10/08/2018,10.91,6.830580473,0.305238461,2,7379,950,ACYC,NA,F,0.72222222,10.68333333,156
269,KY,12,11/08/2018,NA,5.860394299,0.306399672,2,8665,3358,ACYC,NA,F,0.72222222,10.7,NA
270,KY,13,12/08/2018,11.55,1.991447721,0.369690404,6,9438,3339,ACYC,38,F,0.72222222,10.73333333,198
271,KY,13,13/08/2018,13.27,3.237100209,0.489810091,3,8227,2625,ACYC,42.9,F,0.72222222,10.76666667,106
272,KY,13,14/08/2018,8.87,1.453565046,0.52576682,12,13738,5816,ACYC,NA,F,0.72222222,10.8,416
273,KY,13,15/08/2018,11.83,1.519124093,0.338770288,6.5,11248,4919,ACYC,50.5,F,0.72222222,10.81666667,266
274,KY,12,16/08/2018,12.21,1.01603042,0.296250076,8,9255,2376,ACYC,35.6,F,0.72222222,10.85,146
275,KY,12,17/08/2018,10.26,2.558165944,0.394286629,3,10743,3185,ACYC,NA,F,0.72222222,10.88333333,199
276,KY,12,18/08/2018,7.22,3.540261404,0.387239523,3,7625,1694,ACYC,41.5,F,0.72222222,10.9,203
277,KY,12,19/08/2018,9.86,3.341952312,0.365612551,3,10416,2618,ACYC,35.5,F,0.72222222,10.95,213
278,KY,12,20/08/2018,11.68,3.807674566,0.322643361,3,7320,3139,ACYC,39.2,F,0.72222222,10.98333333,229
279,KY,12,21/08/2018,9.98,1.144134675,0.414119386,5,12511,2394,ACYC,NA,F,0.72222222,11,176
280,KY,12,22/08/2018,11.49,2.636060199,0.368924185,4,10892,1798,ACYC,50.2,F,0.72222222,11.03333333,240
281,KY,12,23/08/2018,9.03,2.665983624,0.379269508,3,8613,3627,ACYC,NA,F,0.72222222,11.06666667,158
282,KY,12,24/08/2018,10.46,3.706336422,0.386408151,3,10609,3287,ACYC,35,F,0.72222222,11.1,115
283,KY,12,25/08/2018,8.79,1.382374638,0.390848098,4,8145,2677,ACYC,NA,F,0.72222222,11.13333333,216
284,KY,11,26/08/2018,12.24,5.245150396,0.297993063,2,7171,1886,ACYC,98.7,F,0.72222222,11.16666667,210
285,KY,11,27/08/2018,11.08,1.193123481,0.381732988,25,13414,5494,ACYC,51.5,F,0.72222222,11.2,386
286,KY,11,28/08/2018,10.53,2.401553585,0.360757155,3,6440,2432,ACYC,NA,F,0.72222222,11.23333333,152
287,KY,11,29/08/2018,9.39,1.489639224,0.425774342,7,12691,5330,ACYC,NA,F,0.72222222,11.26666667,276
288,KY,11,30/08/2018,11.43,4.273329745,0.318804609,3,10899,2705,ACYC,59.5,F,0.72222222,11.3,90
289,KY,11,31/08/2018,8.85,3.117375871,0.504007035,4,9213,3313,ACYC,NA,F,0.72222222,11.31666667,197
290,KY,11,01/09/2018,9.64,2.137527012,0.412207713,5,10803,4173,ACYC,NA,F,0.72222222,11.36666667,240
291,KY,11,02/09/2018,9.22,2.193117237,0.417205864,4,5628,2073,ACYC,NA,F,0.72222222,11.4,179
292,KY,11,03/09/2018,12.61,4.580978351,0.323491161,2,8263,5754,ACYC,NA,F,0.72222222,11.41666667,304
293,KY,11,04/09/2018,8.57,1.005670411,0.374662556,11,12121,2690,ACYC,35.5,F,0.72222222,11.46666667,391
294,KY,11,05/09/2018,10.92,1.003386834,0.409423826,15,11809,5660,ACYC,48.4,F,0.72222222,11.5,393
295,KY,11,06/09/2018,11.92,4.845324955,0.367020721,2,8557,779,ACYC,33.3,F,0.72222222,11.51666667,114
296,KY,11,07/09/2018,NA,1.957009596,0.467484822,4,9463,4285,ACYC,NA,F,0.72222222,11.56666667,52
297,L,13,02/08/2018,6.65,8.451687767,0.27746936,1,NA,NA,ACYC,34.2,F,0.27777778,10.46666667,77
298,L,13,03/08/2018,9.45,1.220015762,0.360612402,8,3627,3581,ACYC,NA,F,0.27777778,10.48333333,328
299,L,13,04/08/2018,10.49,5.744095947,0.355845649,2,3720,2760,ACYC,32.6,F,0.27777778,10.51666667,208
300,L,13,05/08/2018,9.95,1.860533553,0.426349865,4,3648,5103,ACYC,26.6,F,0.27777778,10.53333333,247
301,L,13,06/08/2018,9.64,3.074155255,0.399605117,4,1798,5638,ACYC,NA,F,0.27777778,10.56666667,124
302,L,13,07/08/2018,13.7,5.768186109,0.379758685,2,2709,1562,ACYC,NA,F,0.27777778,10.6,160
303,L,13,08/08/2018,9.06,3.605843364,0.415054895,3,7128,4540,ACYC,NA,F,0.27777778,10.61666667,157
304,L,13,09/08/2018,10.32,4.98408077,0.350832405,2,7229,1624,ACYC,NA,F,0.27777778,10.65,242
305,L,13,10/08/2018,10.86,5.662562318,0.303592388,2,6148,1826,ACYC,NA,F,0.27777778,10.68333333,148
306,L,12,11/08/2018,NA,5.931841574,0.329078759,2,5271,1857,ACYC,32.45,F,0.27777778,10.7,NA
307,L,13,12/08/2018,9.74,2.216091226,0.289959372,18,3319,3259,ACYC,NA,F,0.27777778,10.73333333,51
308,L,13,13/08/2018,10.39,1.621261437,0.857704117,6,7341,3109,ACYC,NA,F,0.27777778,10.76666667,164
309,L,13,14/08/2018,7.84,1.4765009,0.545209931,6,7505,4478,ACYC,NA,F,0.27777778,10.8,284
310,L,13,15/08/2018,9.17,1.802482366,0.589675851,14,5756,2930,ACYC,NA,F,0.27777778,10.81666667,0
311,L,12,16/08/2018,10.31,1.837261504,0.369407789,6,5171,3784,ACYC,68,F,0.27777778,10.85,327
312,L,12,17/08/2018,11.93,4.619284617,0.273502983,2,5883,4240,ACYC,NA,F,0.27777778,10.88333333,285
313,L,12,18/08/2018,7.5,3.332926052,0.394071545,3,5775,2286,ACYC,NA,F,0.27777778,10.9,187
314,L,12,19/08/2018,9.69,4.606406941,0.351641183,2,7392,2981,ACYC,NA,F,0.27777778,10.95,192
315,L,12,20/08/2018,11.36,4.33057935,0.3264191,2,6837,2858,ACYC,NA,F,0.27777778,10.98333333,176
316,L,12,21/08/2018,9.14,1.515156473,0.479229576,4,5935,3191,ACYC,NA,F,0.27777778,11,107
317,L,12,22/08/2018,11.04,3.026338396,0.642042251,7,3651,4965,ACYC,34.45,F,0.27777778,11.03333333,378
318,L,12,23/08/2018,7.55,2.584235899,0.337023773,4,7674,2570,ACYC,NA,F,0.27777778,11.06666667,233
319,L,12,24/08/2018,9.99,4.224099962,0.373543679,2,5813,2545,ACYC,30,F,0.27777778,11.1,132
320,L,12,25/08/2018,9.05,1.708626934,0.425325078,4,3377,4493,ACYC,NA,F,0.27777778,11.13333333,210
321,LU,7,26/07/2018,9.1,2.034593056,0.287284893,4,NA,NA,ACYC,NA,F,0.77777778,10.28333333,26
322,LU,7,27/07/2018,12.9,7.771744461,0.270114318,2,8756,1072,ACYC,NA,F,0.77777778,10.31666667,60
323,LU,7,28/07/2018,10.79,5.536555304,0.318631659,2,4928,1543,ACYC,33.2,F,0.77777778,10.35,107
324,LU,7,29/07/2018,9.01,3.897781556,0.395113987,3,6609,1940,ACYC,NA,F,0.77777778,10.35,73
325,LU,10,30/07/2018,11.51,7.665374361,0.325094718,2,5398,1723,ACYC,NA,F,0.77777778,10.38333333,171
326,LU,10,31/07/2018,11.93,2.250055791,0.352970728,7,10201,4393,ACYC,NA,F,0.77777778,10.41666667,270
327,LU,10,01/08/2018,8.1,0.923662961,0.451266721,6,11927,4589,ACYC,NA,F,0.77777778,10.43333333,220
328,LU,13,02/08/2018,9.69,5.491191907,0.665871385,2,8488,2868,ACYC,NA,F,0.77777778,10.46666667,209
329,LU,13,03/08/2018,8.81,1.142286804,0.333205652,12,11774,4759,ACYC,NA,F,0.77777778,10.48333333,387
330,LU,13,04/08/2018,9.69,4.066475797,0.367938786,2.5,6384,2805,ACYC,NA,F,0.77777778,10.51666667,261
331,LU,13,05/08/2018,9.11,1.00339278,0.439190445,8,9831,4421,ACYC,40.3,F,0.77777778,10.53333333,226
332,LU,13,06/08/2018,9.19,2.017165078,0.391241445,3,4721,1985,ACYC,NA,F,0.77777778,10.56666667,259
333,LU,13,07/08/2018,12.77,4.442112556,0.316905007,2,7045,1483,ACYC,NA,F,0.77777778,10.6,281
334,LU,13,08/08/2018,10.09,3.409366848,0.415091884,3,11015,3288,ACYC,49.4,F,0.77777778,10.61666667,225
335,LU,13,09/08/2018,10.35,4.6299822,0.36183391,2,8864,2454,ACYC,NA,F,0.77777778,10.65,153
336,LU,13,10/08/2018,9.89,5.882373612,0.329410762,2,7737,1728,ACYC,NA,F,0.77777778,10.68333333,131
337,LU,12,11/08/2018,NA,5.997632503,0.315301869,2,7353,2918,ACYC,61,F,0.77777778,10.7,NA
338,LU,13,12/08/2018,11.47,2.360442907,0.449631734,6,8623,5024,ACYC,NA,F,0.77777778,10.73333333,133
339,LU,13,13/08/2018,9.66,1.847400695,0.573463226,4,8080,2240,ACYC,71.2,F,0.77777778,10.76666667,136
340,LU,13,14/08/2018,7.64,1.003380454,0.520457889,14,16902,5361,ACYC,131.1,F,0.77777778,10.8,292
341,LU,13,15/08/2018,9.33,1.381479456,0.27379933,5,10890,5503,ACYC,NA,F,0.77777778,10.81666667,217
342,LU,12,16/08/2018,8.82,0.929859336,0.296818414,23,10421,4895,ACYC,NA,F,0.77777778,10.85,162
343,LU,12,17/08/2018,9.84,3.240517924,0.395983254,2,9448,2562,ACYC,NA,F,0.77777778,10.88333333,128
344,LU,12,18/08/2018,7.4,2.349568253,0.414452691,3,8472,2473,ACYC,41.9,F,0.77777778,10.9,179
345,LU,12,19/08/2018,10.42,4.548559054,0.352175607,2,9674,2306,ACYC,NA,F,0.77777778,10.95,230
346,LU,12,20/08/2018,11.88,3.657935191,0.31754124,2,8916,1969,ACYC,NA,F,0.77777778,10.98333333,133
347,LU,12,21/08/2018,10.05,1.493134989,0.486788745,5,12073,3108,ACYC,NA,F,0.77777778,11,169
348,LU,12,22/08/2018,8.64,1.125385945,0.389981934,8,12367,3237,ACYC,59.2,F,0.77777778,11.03333333,160
349,LU,12,23/08/2018,6.94,1.000790419,0.35535617,9.5,11185,2870,ACYC,NA,F,0.77777778,11.06666667,66
350,LU,12,24/08/2018,10.19,3.630018867,0.380929792,3,11392,3502,ACYC,NA,F,0.77777778,11.1,115
351,LU,12,25/08/2018,8.97,1.738698246,0.426046812,4,7873,4579,ACYC,NA,F,0.77777778,11.13333333,225
352,LU,11,26/08/2018,11.75,6.297359465,0.316676314,1,4027,1290,ACYC,NA,F,0.77777778,11.16666667,202
353,LU,11,27/08/2018,9.33,0.954177882,0.400548583,15,9618,6436,ACYC,NA,F,0.77777778,11.2,335
354,LU,11,28/08/2018,10.89,3.108427762,0.402830496,3,7624,3540,ACYC,NA,F,0.77777778,11.23333333,206
355,LU,11,29/08/2018,8.42,1.206426714,0.413918577,7.5,16071,3401,ACYC,NA,F,0.77777778,11.26666667,162
356,LU,11,30/08/2018,10.15,3.066180429,0.362430758,3,10377,4571,ACYC,50.8,F,0.77777778,11.3,164
357,LU,11,31/08/2018,11.43,4.023039433,0.391824085,3,10568,2151,ACYC,NA,F,0.77777778,11.31666667,181
358,LU,11,01/09/2018,10.14,2.830053974,0.414709344,3,12821,2667,ACYC,NA,F,0.77777778,11.36666667,229
359,LU,11,02/09/2018,9.09,1.338105611,0.529117034,5,7905,1294,ACYC,NA,F,0.77777778,11.4,125
360,LU,11,03/09/2018,11.47,5.052576471,0.320488221,2,9746,3187,ACYC,NA,F,0.77777778,11.41666667,12
361,LU,11,04/09/2018,8.33,1.129410658,0.38266563,13,9680,4768,ACYC,NA,F,0.77777778,11.46666667,359
362,LU,11,05/09/2018,8.42,0.922801892,0.458584597,19,12970,6818,ACYC,50.8,F,0.77777778,11.5,302
363,LU,11,06/09/2018,10.24,4.339212417,0.395881774,2,9243,2879,ACYC,47.6,F,0.77777778,11.51666667,137
364,LU,11,07/09/2018,9.6,1.786112218,0.44130265,5,10790,3459,ACYC,NA,F,0.77777778,11.56666667,279
365,LU,9,08/09/2018,7.96,3.588021219,0.39850678,2,5643,1627,ACYC,43.5,F,0.77777778,11.6,164
366,LU,9,09/09/2018,5.27,2.964556504,0.407197192,3,14005,3834,ACYC,NA,F,0.77777778,11.61666667,32
367,N,7,26/07/2018,7.95,4.916038294,0.298067047,4,NA,NA,PREG,42.8,F,0.55555556,10.28333333,79
368,N,7,27/07/2018,11.59,4.686021618,0.283340266,2,8155,3531,PREG,NA,F,0.55555556,10.31666667,62
369,N,7,28/07/2018,12.46,5.089910696,0.303882545,3,6230,3743,PREG,NA,F,0.55555556,10.35,74
370,N,7,29/07/2018,13.54,3.709454687,0.41618682,2,7118,4957,PREG,58.8,F,0.55555556,10.35,251
371,N,10,30/07/2018,11.17,1.21996744,0.426735957,13,6507,7230,PREG,NA,F,0.55555556,10.38333333,27
372,N,10,31/07/2018,13.92,5.405307411,0.514476527,4,6559,6567,PREG,NA,F,0.55555556,10.41666667,204
373,N,10,01/08/2018,12.12,1.414683701,0.343039458,6,9492,5669,PREG,NA,F,0.55555556,10.43333333,250
374,N,13,02/08/2018,12.12,6.182208882,0.418324614,2,6366,3814,PREG,NA,F,0.55555556,10.46666667,155
375,N,13,03/08/2018,9.64,1.046570316,0.319962142,16,6733,12130,PREG,NA,F,0.55555556,10.48333333,262
376,N,13,04/08/2018,9.3,3.96057631,0.331753886,2,6689,3709,PREG,NA,F,0.55555556,10.51666667,168
377,N,13,05/08/2018,11.39,1.131394315,0.370034786,9.5,7469,8992,PREG,NA,F,0.55555556,10.53333333,190
